1	24	0	2	4110	1	5	3	3	1	4	4	23	1	1	2	3	2	1	1
2	24	3	9	6967	2	4	4	3	1	4	3	36	3	1	1	4	1	2	1
4	18	2	3	1453	1	2	3	2	1	1	1	26	3	2	1	3	1	1	1
2	24	4	6	5743	1	2	2	2	1	4	4	24	3	3	2	3	1	2	1
1	18	2	3	1345	1	3	4	4	1	3	1	26	3	2	1	3	1	1	1
1	21	3	6	3414	1	2	2	3	1	1	2	26	2	2	2	3	1	1	1
4	24	2	3	2397	3	5	3	3	1	2	3	35	1	2	2	3	1	2	1
1	18	2	3	3509	1	4	4	2	3	1	1	25	3	2	1	3	1	1	1
1	24	2	2	3149	1	2	4	3	1	1	4	22	1	3	1	3	1	1	1
1	24	2	0	1442	1	4	4	2	1	4	3	23	3	1	2	3	1	1	1
2	36	0	9	1953	1	5	4	3	1	4	4	61	3	3	1	4	1	2	1
4	36	2	3	3595	1	5	4	3	1	2	3	28	3	2	1	3	1	1	1
4	30	2	3	2333	3	5	4	3	1	2	3	30	1	2	1	4	1	1	1
4	12	4	3	618	1	5	4	3	1	4	1	56	3	2	1	3	1	1	1
1	24	2	2	3234	1	2	4	2	1	4	1	23	3	1	1	2	1	2	1
1	18	1	0	1442	1	4	4	3	1	4	4	32	1	3	2	2	2	1	1
4	24	2	0	3757	1	5	4	2	2	4	4	62	3	3	1	3	1	2	1
1	18	4	2	1049	1	2	4	2	1	4	2	21	3	1	1	3	1	1	1
3	21	2	0	2923	2	3	1	2	1	1	3	28	1	2	1	4	1	2	1
4	48	4	1	11590	2	3	2	2	1	4	3	24	3	1	2	2	1	1	1
4	24	2	3	3105	5	2	4	3	1	2	3	25	3	2	2	3	1	1	1
1	12	1	0	697	1	2	4	3	1	2	3	46	1	2	2	3	1	2	1
4	24	4	5	2058	1	3	4	1	1	2	1	33	3	2	2	3	1	2	1
1	42	2	2	7882	1	4	2	3	3	4	2	45	3	3	1	3	2	1	1
2	12	4	1	1860	1	1	4	3	1	2	3	34	3	2	2	4	1	2	1
2	12	2	0	1007	4	3	4	4	1	1	1	22	3	2	1	3	1	1	1
4	12	1	8	3447	3	3	4	2	1	3	1	35	3	2	1	2	2	1	1
2	21	2	2	3976	5	4	2	3	1	3	3	35	3	2	1	3	1	2	1
4	12	2	3	1493	1	2	4	2	1	3	3	34	3	2	1	3	2	1	1
2	12	2	3	1158	3	3	3	1	1	1	3	26	3	2	1	3	1	2	1
2	18	4	2	3612	1	5	3	2	1	4	2	37	3	2	1	3	1	2	2
1	30	2	1	3857	1	3	4	1	1	4	2	40	3	2	1	4	1	2	1
4	30	4	3	5954	1	4	3	3	2	2	3	38	3	2	1	3	1	1	1
4	18	4	0	1028	1	3	4	2	1	3	1	36	3	2	2	3	1	1	1
2	9	4	6	1501	1	5	2	2	1	3	3	34	3	2	2	4	1	2	1
1	24	2	1	2910	1	4	2	3	1	1	4	34	3	3	1	4	1	2	1
4	48	4	9	7629	5	5	4	1	1	2	3	46	1	2	2	4	2	1	1
1	12	2	6	1200	5	3	4	2	1	4	2	23	1	1	1	3	1	2	1
1	18	2	1	7511	5	5	1	3	1	4	2	51	3	3	1	3	2	2	1
4	6	2	1	1236	3	3	2	3	1	4	2	50	3	1	1	3	1	1	1
2	48	2	9	15672	1	3	2	3	1	2	3	23	3	2	1	3	1	2	1
2	6	2	3	1068	1	5	4	3	1	4	3	28	3	2	1	3	2	1	1
4	12	4	3	1291	1	3	4	2	1	2	2	35	3	2	2	3	1	1	1
4	9	2	2	1388	1	3	4	2	1	2	1	26	3	1	1	3	1	1	1
2	36	2	3	4795	1	2	4	2	1	1	4	30	3	2	1	4	1	2	1
4	28	1	1	7824	5	2	3	3	3	4	1	40	1	1	2	3	2	2	1
2	42	4	9	5954	1	4	2	2	1	1	1	41	1	2	2	2	1	1	1
2	18	4	3	1795	1	5	3	2	3	4	1	48	1	1	2	2	1	2	1
4	6	0	3	426	1	5	4	4	1	4	3	39	3	2	1	2	1	1	1
2	12	4	0	3124	1	2	1	3	1	3	1	49	1	2	2	2	2	1	1
4	24	3	0	2538	1	5	4	3	1	4	3	47	3	2	2	2	2	1	1
4	24	2	2	2835	3	5	3	3	1	4	2	53	3	2	1	3	1	1	1
2	12	2	0	685	1	4	2	4	1	3	3	25	1	2	1	2	1	1	1
4	12	4	3	930	5	5	4	3	1	4	1	65	3	2	4	3	1	1	1
4	21	2	9	1572	4	5	4	2	1	4	1	36	1	2	1	2	1	1	1
4	36	2	0	909	3	5	4	3	1	4	2	36	3	2	1	3	1	1	1
4	18	2	3	1473	1	2	3	4	1	4	1	39	3	2	1	3	1	2	1
2	9	2	3	2118	1	3	2	3	1	2	1	37	3	2	1	2	2	1	1
2	9	2	3	790	3	3	4	2	1	3	1	66	3	2	1	2	1	1	1
4	6	0	0	1204	2	3	4	3	1	1	4	35	1	1	1	3	1	1	2
3	4	2	0	1494	5	2	1	3	1	2	1	29	3	2	1	2	2	1	2
4	24	2	0	2255	5	2	4	3	1	1	2	54	3	2	1	3	1	1	1
1	24	4	1	6615	1	1	2	3	1	4	4	75	3	3	2	4	1	2	1
1	36	2	0	1842	1	2	4	2	1	4	3	34	3	2	1	3	1	2	1
4	11	4	3	1154	2	1	4	2	1	4	1	57	3	2	3	2	1	1	1
4	24	4	3	2424	5	5	4	3	1	4	2	53	3	2	2	3	1	1	1
1	15	2	3	1053	1	2	4	4	1	2	1	27	3	2	1	3	1	1	2
1	36	2	2	2712	1	5	2	3	1	2	2	41	1	2	1	3	2	1	1
1	15	2	0	1721	1	2	2	3	1	3	1	36	3	2	1	3	1	1	1
2	24	2	1	12579	1	5	4	2	1	2	4	44	3	3	1	4	1	2	1
3	42	0	9	6289	1	2	2	1	1	1	2	33	3	2	2	3	1	1	1
3	24	4	3	3148	5	3	3	3	1	2	3	31	3	2	2	3	1	2	1
4	6	3	3	935	1	3	3	2	1	2	1	24	3	2	1	3	1	1	1
4	9	2	2	2301	2	2	2	2	1	4	2	22	3	1	1	3	1	1	1
2	18	4	0	884	1	5	4	3	1	4	3	36	3	2	1	3	2	2	1
